"Time","coffee"
"2026-03-20",69
"2026-03-21",78
"2026-03-22",95
"2026-03-23",78
"2026-03-24",82
"2026-03-25",74
"2026-03-26",67
"2026-03-27",76
"2026-03-28",88
"2026-03-29",100
"2026-03-30",89
"2026-03-31",88
"2026-04-01",98
"2026-04-02",83
"2026-04-03",92
"2026-04-04",71
"2026-04-05",70
"2026-04-06",69
"2026-04-07",59
"2026-04-08",60
"2026-04-09",57
"2026-04-10",64
"2026-04-11",66
"2026-04-12",67
"2026-04-13",57
"2026-04-14",55
"2026-04-15",59
"2026-04-16",62
"2026-04-17",58
"2026-04-18",66
